idx,accelX_g,accelY_g,accelZ_g,magX_uT,magY_uT,magZ_uT,gyroX_dps,gyroY_dps,gyroZ_dps,gyroX_deg,gyroY_deg,gyroZ_deg,temp_C,humidity,pres_Pa,alt_m
469.0,0.092,0.934,0.007,-28.6,-77.1,12.4,-2.375,-3.625,-0.25,89.581,-5.61,148.234,25.776,42.0,99704.15,141.29
470.0,0.092,0.937,0.01,-28.7,-80.1,12.6,-1.75,-3.562,-0.188,89.403,-5.592,147.108,25.771,42.04,99703.09,141.38
471.0,0.094,0.934,0.01,-28.3,-78.2,11.9,-1.938,-3.25,-0.062,89.401,-5.728,148.02,25.771,42.0,99701.56,141.51
472.0,0.092,0.936,0.009,-28.1,-79.5,13.8,-1.875,-3.312,0.188,89.462,-5.598,144.276,25.771,42.03,99704.89,141.22
473.0,0.092,0.935,0.01,-28.8,-79.0,11.0,-2.125,-3.125,0.0,89.402,-5.604,150.572,25.768,42.05,99706.19,141.1
474.0,0.09,0.934,0.012,-28.9,-79.7,11.7,-1.438,-3.0,0.25,89.282,-5.491,149.027,25.769,42.04,99701.7,141.5
475.0,0.093,0.935,0.008,-28.1,-78.3,11.8,-1.688,-3.312,0.062,89.522,-5.663,148.405,25.769,41.98,99700.26,141.63
476.0,0.093,0.935,0.011,-28.4,-78.8,13.2,-1.438,-3.125,0.312,89.342,-5.663,145.474,25.775,42.05,99703.33,141.36
477.0,0.092,0.935,0.012,-28.7,-78.7,11.5,-1.812,-3.25,-0.312,89.282,-5.604,149.139,25.774,42.08,99702.79,141.41
478.0,0.09,0.935,0.01,-28.6,-78.3,11.0,-1.625,-3.562,-0.312,89.402,-5.485,150.629,25.773,42.04,99701.61,141.51
479.0,0.093,0.933,0.012,-29.3,-79.2,12.6,-2.0,-3.625,-0.188,89.281,-5.675,147.506,25.779,42.05,99704.29,141.28
480.0,0.091,0.934,0.011,-28.5,-79.4,11.8,-1.312,-3.062,0.125,89.341,-5.55,148.447,25.775,42.06,99705.49,141.17
481.0,0.094,0.934,0.009,-29.6,-78.4,9.6,-1.688,-3.25,0.0,89.461,-5.728,154.464,25.781,42.03,99705.06,141.21
482.0,0.092,0.937,0.008,-28.9,-79.6,12.8,-2.312,-3.688,-0.438,89.523,-5.592,147.357,25.784,42.05,99704.49,141.26
